biomass,minProd,maxProd,ko1,ko2,ko3,ko4,ko5
1.11104292034886,1.15854191199997,1.1619707715812,EX_fum_e/FUMtex,FUM,PACCOAL/PACOAT,GLDBRAN2,
0.202324621592736,21.1031698739,24.3682371849801,PGI,EDA/EDD,ASNS2,ATPS4rpp,EX_o2_e/O2tex
0.202749966843934,21.0995887366985,24.3692518217504,PPM,PGI,EDA/EDD,ATPS4rpp,EX_o2_e/O2tex
0.196414627526969,21.0730174827999,24.0272111260092,PGI,EDA/EDD,TKT1,ATPS4rpp,EX_o2_e/O2tex
0.599699536921102,0.625258083200011,0.631327898133193,EX_fum_e/FUMtex,FUM,ASNS2,PSERT/PSP_L,ATPS4rpp
0.620408412662424,0.646948156800091,0.650892092553013,EX_fum_e/FUMtex,RPE,FUM,PPC,PSERT/PSP_L
0.254101648093114,0.264973447200053,0.265066715304536,EX_fum_e/FUMtex,FUM,PPC,ASNS2,EX_o2_e/O2tex
0.254462948158157,0.265286284800054,0.268843559135032,EX_fum_e/FUMtex,FUM,PPC,EX_o2_e/O2tex,GLCtex_copy2
0.37350627454989,0.38948281199999,0.390207522936173,EX_fum_e/FUMtex,EDA/EDD,FUM,XYLI2,EX_o2_e/O2tex
0.590029113658371,2.56081837499413,2.59283392416992,EX_ac_e/ACtex,EX_fum_e/FUMtex,FUM,PPC,PSERT/PSP_L
0.580607720192513,0.605445035199989,0.609223792687928,EX_fum_e/FUMtex,TKT1,FUM,PPC,PSERT/PSP_L
0.221351528455768,0.230769869600007,0.234117391973469,EX_fum_e/FUMtex,FUM,PPC,PSERT/PSP_L,EX_o2_e/O2tex
0.635965513232385,0.663111432800009,0.6682860975722,EX_fum_e/FUMtex,FUM,PPC,PSERT/PSP_L,TKT2
0.675975242029999,0.704823112799989,0.715089252148795,EX_fum_e/FUMtex,TKT1,FUM,PPC,TPI
0.646991540410486,0.67458214479999,0.680403146602679,EX_fum_e/FUMtex,FUM,PPC,TKT2,TPI
0.972607583895816,1.01421949920006,1.01492526541958,EX_fum_e/FUMtex,TKT1,FUM,CBMKr,TPI
0.852454216381156,0.888875900799929,0.892155770524567,EX_fum_e/FUMtex,EDA/EDD,TKT1,FUM,TPI
0.983199499259117,1.02516881520004,1.03432858079012,EX_fum_e/FUMtex,TKT1,FUM,HEX1,TPI
0.615715426600165,0.642047034399981,0.642963286850817,EX_fum_e/FUMtex,TKT1,FUM,HEX1,ATPS4rpp
0.615715426600168,0.642047034399982,0.642963286849991,EX_fum_e/FUMtex,EDA/EDD,TKT1,FUM,ATPS4rpp
0.323492742353936,0.337238932800022,17.6991153596995,EX_ac_e/ACtex,EX_fum_e/FUMtex,TKT1,FUM,ATPS4rpp
0.25853806251147,0.269561732000014,1.33124787900069,EX_fum_e/FUMtex,TKT1,FUM,ATPS4rpp,EX_o2_e/O2tex
0.320222646594345,0.333901998400036,0.33648828005146,EX_fum_e/FUMtex,FUM,HEX1,ATPS4rpp,RPI
0.609287678476247,0.63526888640003,0.640531428199672,EX_fum_e/FUMtex,TKT1,FUM,CBMKr,ATPS4rpp
0.615715426600169,0.642047034399953,0.642963286848598,EX_fum_e/FUMtex,ALATA_L,TKT1,FUM,ATPS4rpp
0.615715426600171,0.642047034399987,0.642963286848874,EX_fum_e/FUMtex,TKT1,FUM,EX_lac__D_e/D_LACtex/D_LACt2pp,ATPS4rpp
0.320222646594331,0.333901998400002,0.336488280047192,EX_fum_e/FUMtex,FUM,EX_lac__D_e/D_LACtex/D_LACt2pp,ATPS4rpp,RPI
0.259913290813839,0.27102164079999,0.281189437200339,EX_fum_e/FUMtex,FUM,EX_lac__D_e/D_LACtex/D_LACt2pp,ATPS4rpp,EX_o2_e/O2tex
0.372709063506974,0.388648578400003,0.389697653212077,EX_fum_e/FUMtex,TKT1,FUM,EX_lac__D_e/D_LACtex/D_LACt2pp,EX_o2_e/O2tex
1.07064166545563,1.11641311520001,1.1197376084506,EX_fum_e/FUMtex,PGI,TKT1,FUM,EX_lac__D_e/D_LACtex/D_LACt2pp
1.07064166545563,1.11641311519996,1.11973760844971,EX_fum_e/FUMtex,PGI,EDA/EDD,TKT1,FUM
1.07064166545563,1.11641311519995,1.11973760845028,EX_fum_e/FUMtex,FBA,PGI,TKT1,FUM
0.888617640481963,4.46222700540648,8.14669326826452,EX_ac_e/ACtex,EX_fum_e/FUMtex,PGI,TKT1,FUM
0.496547292132876,0.517746227999995,0.521742683228419,EX_fum_e/FUMtex,PGI,FUM,EX_lac__D_e/D_LACtex/D_LACt2pp,RPI
0.329933969963813,0.344017080799976,0.347943970837659,EX_fum_e/FUMtex,PGI,TKT1,FUM,EX_o2_e/O2tex
1.05954758622451,1.10483812400001,1.1086747922095,EX_fum_e/FUMtex,PGI,TKT1,FUM,CBMKr
1.07064166545563,1.11641311519998,1.11973760844897,EX_fum_e/FUMtex,PGI,TKT1,FUM,GLCtex_copy2
0.496547292132871,0.517746228000016,0.521742683226603,EX_fum_e/FUMtex,PGI,FUM,RPI,GLCtex_copy2
1.07192017863657,1.11776874479998,1.11937688101437,EX_fum_e/FUMtex,PGI,RPE,FUM,GLCtex_copy2
1.11104292034886,1.15854191199997,1.16197077158518,EX_fum_e/FUMtex,ALATA_L,TKT1,FUM,GLCtex_copy2
1.11104292034886,1.15854191199993,1.16197077158346,EX_fum_e/FUMtex,EDA/EDD,TKT1,FUM,GLCtex_copy2
1.07377966685431,1.11964577040001,1.12623113442511,EX_fum_e/FUMtex,EDA/EDD,FUM,PSERT/PSP_L,GLCtex_copy2
0.852454216381154,0.888875900799934,0.892155770525122,EX_fum_e/FUMtex,EDA/EDD,FUM,TPI,GLCtex_copy2
0.748369399428453,0.780321253599946,0.785174141477373,EX_fum_e/FUMtex,EDA/EDD,FUM,PPC,GLCtex_copy2
1.10881244965525,1.15624776959997,1.15724435959989,EX_fum_e/FUMtex,EDA/EDD,TKT1,FUM,ASNS2
1.10880623495387,1.15624776959997,1.15674687799951,EX_fum_e/FUMtex,PPM,EDA/EDD,FUM,ASNS2
0.958593212663695,2.12962714313483,2.26128963767923,EX_ac_e/ACtex,EX_fum_e/FUMtex,PPM,FUM,ASNS2
0.958599208632338,2.12317643812992,2.26322484918679,EX_ac_e/ACtex,EX_fum_e/FUMtex,FUM,ASNS2,GLCtex_copy2
0.935861227377665,4.39647333493421,7.94525316001858,EX_ac_e/ACtex,EX_fum_e/FUMtex,RPE,FUM,GLCtex_copy2
0.501984213298112,0.523377304799973,0.530507412960016,EX_fum_e/FUMtex,FUM,ASNS2,CBMKr,RPI
0.470448507395156,0.490529356800029,0.50003919876534,EX_fum_e/FUMtex,FUM,ASNS2,TPI,RPI
0.229610121866694,0.239425043199986,0.241326776997635,EX_fum_e/FUMtex,FUM,CBMKr,RPI,EX_o2_e/O2tex
0.493841485372864,0.824339350200005,0.827909717753778,EX_fum_e/FUMtex,FUM,CBMKr,CBPS,RPI
1.09735969592743,1.14425566160005,1.14908417000961,EX_fum_e/FUMtex,TALA,FUM,ASNS2,CBMKr
0.1976921897322,21.0614595160003,24.1191309928014,PGI,EDA/EDD,TKT2,ATPS4rpp,EX_o2_e/O2tex
0.245095172490311,0.255484040000014,0.266411035625841,EX_fum_e/FUMtex,FUM,TKT2,TPI,EX_o2_e/O2tex
0.966283348258624,1.00754563039997,1.01535288238052,EX_fum_e/FUMtex,FUM,CBMKr,TKT2,TPI
0.244017618012764,0.254441247999983,0.25647294916858,EX_fum_e/FUMtex,FUM,PSERT/PSP_L,TPI,EX_o2_e/O2tex
0.202608997845602,21.1026326566664,24.3663717569574,PGI,EDA/EDD,TRPAS2,ATPS4rpp,EX_o2_e/O2tex
0.147074505497115,14.5624325839989,15.4243666619978,PGI,EDA/EDD,FUM,ATPS4rpp,EX_o2_e/O2tex
0.200549862829835,21.0874294654999,24.3761859903552,PGI,EDA/EDD,CBMKr,ATPS4rpp,EX_o2_e/O2tex
0.197051337915342,21.0676953070005,24.0724858480016,PGI,EDA/EDD,RPE,ATPS4rpp,EX_o2_e/O2tex
0.147074505497115,14.5624325839989,15.4243666619978,PGI,EDA/EDD,FUM,ATPS4rpp,EX_o2_e/O2tex
0.611794284648577,0.637875866399997,0.643511730750831,EX_fum_e/FUMtex,TALA,FUM,TKT2,ATPS4rpp
0.452707420390879,0.472071938399969,0.472507451000534,EX_fum_e/FUMtex,ALATA_L,FUM,ATPS4rpp,TPI
0.617473107782625,0.643819780800005,0.64814960760012,EX_fum_e/FUMtex,ALATA_L,TRPAS2,FUM,ATPS4rpp
0.409910265725849,0.42744044079996,0.428356293916934,EX_fum_e/FUMtex,ALATA_L,FUM,PPC,ATPS4rpp
0.600887185200067,0.626509433600001,0.631815525734993,EX_fum_e/FUMtex,ALATA_L,FUM,PSERT/PSP_L,ATPS4rpp
0.611794284648572,0.637875866400025,0.643511730750074,EX_fum_e/FUMtex,ALATA_L,FUM,TKT2,ATPS4rpp
0.613748592800521,0.639961450400009,0.642856835800604,EX_fum_e/FUMtex,ALATA_L,RPE,FUM,ATPS4rpp
0.323936778977259,0.337760328800061,17.7247014219333,EX_ac_e/ACtex,EX_fum_e/FUMtex,TRPAS2,FUM,ATPS4rpp
0.232936505113343,0.242866256799985,16.0347747764174,EX_ac_e/ACtex,EX_fum_e/FUMtex,FUM,PPC,ATPS4rpp
0.960223691514607,2.18743426425316,2.22180094567487,EX_ac_e/ACtex,EX_fum_e/FUMtex,TALA,TRPAS2,FUM
0.93586122737767,4.39647333494096,7.94525316001557,EX_ac_e/ACtex,EX_fum_e/FUMtex,RPE,TALA,FUM
1.09174817394307,1.13841602640001,1.14566084652038,EX_fum_e/FUMtex,TALA,TRPAS2,FUM,EX_for_e/FORtex
0.292455231187181,0.304912380800016,0.317429589233403,EX_fum_e/FUMtex,TRPAS2,FUM,EX_for_e/FORtex,EX_o2_e/O2tex
