biomass,minProd,maxProd,ko1,ko2,ko3,ko4,ko5
0.123562271658186,19.5367064778762,37.9451791514558,PTAr/ACKr,FUM,TPI,EX_o2_e/O2tex,LDH_D
0.119877865666151,19.4815627090473,38.1852010164747,PTAr/ACKr,PSERT/PSP_L,TPI,EX_o2_e/O2tex,LDH_D
0.119877865666151,19.4815627090473,38.1852010164747,PTAr/ACKr,PSERT/PSP_L,TPI,EX_o2_e/O2tex,LDH_D
0.124183358122259,37.9641196360837,38.0246454119096,PTAr/ACKr,EX_dha_e/DHAtex/DHAtpp,TPI,EX_o2_e/O2tex,LDH_D
0.124183358122259,19.6094655654259,38.0246454119091,PTAr/ACKr,TPI,EX_o2_e/O2tex,LDH_D,GLCtex_copy2
0.120694918768378,18.1346023104457,18.2172724098468,EDA/EDD,PTAr/ACKr,TPI,EX_o2_e/O2tex,LDH_D
0.12266329829889,19.6328337392483,38.1444349851326,PFL,PTAr/ACKr,TPI,EX_o2_e/O2tex,LDH_D
0.117397112104976,16.745799483422,18.2676906052324,PGL/G6PDH2r,PTAr/ACKr,TPI,EX_o2_e/O2tex,LDH_D
0.114952178597867,19.6516287559239,38.1696179472749,PTAr/ACKr,GLUDy,TPI,EX_o2_e/O2tex,LDH_D
0.124183358122259,19.6271060245442,38.0246454119085,PTAr/ACKr,EX_hxa_e/HXAtex,TPI,EX_o2_e/O2tex,LDH_D
0.124183358122259,37.9641196360837,38.0246454119096,PTAr/ACKr,EX_dha_e/DHAtex/DHAtpp,TPI,EX_o2_e/O2tex,LDH_D
0.123842659743355,38.066751456016,38.0986468663833,EX_ac_e/ACtex,EX_dha_e/DHAtex/DHAtpp,TPI,EX_o2_e/O2tex,LDH_D
0.123842659743355,38.066751456016,38.0986468663833,EX_ac_e/ACtex,EX_dha_e/DHAtex/DHAtpp,TPI,EX_o2_e/O2tex,LDH_D
0.117092586923016,18.2562133272404,18.3393333402531,EX_ac_e/ACtex,PGL/G6PDH2r,TPI,EX_o2_e/O2tex,LDH_D
0.123842659743356,19.7171725173047,38.098646866384,EX_ac_e/ACtex,EX_hxa_e/HXAtex,TPI,EX_o2_e/O2tex,LDH_D
0.123842659743358,37.3029205183422,38.098646866383,EX_ac_e/ACtex,PGI,TPI,EX_o2_e/O2tex,LDH_D
0.122803121289457,36.4033146724675,38.1845417668666,PGI,EX_for_e/FORtex,TPI,EX_o2_e/O2tex,LDH_D
0.122663298298888,36.7655156674193,38.1874985392335,PGI,PFL,TPI,EX_o2_e/O2tex,LDH_D
0.156414613649132,30.9160811093618,30.9305668174999,EX_ac_e/ACtex,PGI,HEX7,EX_o2_e/O2tex,LDH_D
0.123842659743356,37.3029205183437,38.0986468663842,EX_ac_e/ACtex,PGI,EX_lac__D_e/D_LACtex/D_LACt2pp,TPI,EX_o2_e/O2tex
0.123842659743357,38.066751456003,38.0986468663832,EX_ac_e/ACtex,EX_lac__D_e/D_LACtex/D_LACt2pp,F6PA,TPI,EX_o2_e/O2tex
0.255532520674463,35.9818148692632,36.0172427484477,MDH,FADRx,EX_lac__D_e/D_LACtex/D_LACt2pp,ATPS4rpp,EX_o2_e/O2tex
0.158954221185921,22.4269929469533,22.4693855845001,PFL,MDH,EX_lac__D_e/D_LACtex/D_LACt2pp,PDH,EX_o2_e/O2tex
0.210962417527262,33.6010390624993,33.6402596379501,EX_ac_e/ACtex,PFL,PPC,EX_lac__D_e/D_LACtex/D_LACt2pp,EX_o2_e/O2tex
0.155978901662597,31.5913340932495,31.6583893442006,PFL,MDH,PPC,EX_lac__D_e/D_LACtex/D_LACt2pp,EX_o2_e/O2tex
0.247577786909942,36.1008622825006,36.1539104256187,PGI,PFL,MDH,EX_lac__D_e/D_LACtex/D_LACt2pp,EX_o2_e/O2tex
0.160396737474296,32.5165034648499,32.5964522206313,PFL,PPC,EX_lac__D_e/D_LACtex/D_LACt2pp,PSERT/PSP_L,EX_o2_e/O2tex
